"Launch Angle (degrees)","Exit Velocity (mph)","Predicted Probability of a Hit"
-71,58,"15.8%"
-71,53,"20.2%"
-71,51,"29.6%"
-71,50,"9.0%"
-71,44,"17.8%"
-71,42,"21.4%"
-71,40,"24.8%"
-72,73,"29.6%"
-72,66,"2.2%"
-72,65,"20.0%"
-72,60,"1.2%"
-72,46,"18.6%"
-72,40,"33.8%"
-73,76,"25.4%"
-73,61,"19.8%"
-73,60,"10.2%"
-73,59,"4.8%"
-73,56,"8.2%"
-73,51,"5.6%"
-73,48,"9.8%"
-73,42,"14.8%"
-74,52,"19.6%"
-75,69,"7.4%"
-75,63,"36.0%"
-75,60,"15.2%"
-75,51,"13.2%"
-75,50,"6.2%"
-75,40,"26.6%"
-76,60,"6.2%"
-76,52,"25.4%"
-77,77,"8.8%"
-77,75,"6.4%"
-77,73,"20.8%"
-77,70,"18.8%"
-77,55,"12.2%"
-77,53,"20.0%"
-77,37,"21.6%"
-78,89,"11.6%"
-78,48,"12.4%"
-79,51,"20.0%"
-80,58,"15.8%"
-80,49,"8.0%"
-80,38,"27.2%"
-81,79,"16.0%"
-81,48,"14.4%"
-81,42,"10.4%"
-82,65,"6.6%"
-82,63,"35.8%"
-82,60,"4.2%"
-82,56,"16.6%"
-82,53,"28.0%"
-82,51,"17.0%"
-82,49,"3.8%"
-82,48,"5.0%"
-84,46,"8.8%"
-85,70,"3.2%"
